Title,Use ML?,Benchmark/Dataset Link,Is the dataset public?,Code available?,Reproducible?,Journal/Conference,Year,Methane Source,Data Analytics Techniques,Target Area,Area of Plume,Accuracy/SNR
Autonomous Detection of Methane Emissions in Multispectral Satellite Data Using Deep Learning,Yes,- PEPS: https://peps.cnes.fr/ - The GEOS-FP: https://fluid.nccs.nasa.gov/weather/,No,No,Yes with caveats,arXiv,2023,Oil wells,Auto-encoder,"Algeria, USA (Permian Basin), Turkmenistan",Not specified,ROC AUC: 0.937 High accuracy down to SNR ≈ 0.1
CH4Net: a deep learning model for monitoring methane super-emitters with Sentinel-2 imagery,Yes,https://doi.org/10.57967/hf/2117,Yes,No,No,Atmos. Meas. Tech.,2024,Oil and gas extraction,Deep learning for spectral signal analysis,Turkmenistan,Not specified,"Accuracy: 0.80, Balanced Accuracy: 0.76, Precision: 0.30, Recall: 0.84, F1 Score: 0.857, ROC AUC: 0.923"
Detecting Methane Plumes using PRISMA: Deep Learning Model and Data Augmentation,Yes,No.,No,No,No,NeurIPS Workshop,2022,Not clear,"Deep learning for plume shape detection, Ensemble of detectors",Not clear,,"Precision: 0.88, Recall: 0.42, F1-Score: 0.57, IoU: 0.61, mIoU: 0.19 (for plume transfer method)"
Global Assessment of Oil and Gas Methane Ultra-Emitters,Yes,No,No,No,No,Science,2022,"Oil and Gas extraction, coal, agriculture and waste management","Logistic regression for coverage prediction, HYSPLIT model for plume simulation, Monte Carlo simulations for emission uncertainty estimation.","Global, with specific focus areas like the USA (excluding the Permian Basin), Russia, Iran, Kazakhstan, and Algeria.",Varies per detected plume; specific area not detailed in the document.,Uncertainty Analysis: - Median of total relative uncertainty: 45% - Source location uncertainty: 26% - Background estimation method uncertainty: 10% - Sentinel-5P XCH4_precision data product uncertainty: 9%
Methane Concentration Forecasting Based on Sentinel-5P Products and Recurrent Neural Networks,Yes,Not published. But used: NASA Earth data,No,No,No,Geosciences,2023,"Not specified (focus on regions with high methane concentration like Texas, Pennsylvania, and West Virginia)",Time-series forecasting using RNNs (LSTM and GRU),"Texas, Pennsylvania, West Virginia",Not specified,MSE: 0.7578 for the best model
A blended TROPOMI+GOSAT satellite data product for atmospheric methane using machine learning to correct retrieval biases,Yes,No. The TROPOMI data used here 555 are available at for 2018 to 2021. The GOSAT data used here are available at http://dx.doi.org/10.5285/18ef8247f52a4cb6a14013f8235cc1eb for 2009 to 2021. The TCCON data were obtained from the TCCON Data Archive hosted by CaltechDATA at https://tccondata.org.,No,Yes,Yes,Preprint on Atmospheric Measurement Techniques Discussions,2023,"Various sources including arid land, persistently cloudy regions, and high northern latitudes.","Machine Learning (LightGBM) for bias correction, SHAP analysis for feature importance.",Global,Not specified,TROPOMI precision: 13.8 ppb GOSAT precision: 15.0 ppb Blended product precision: 11.7 ppb
A New Divergence Method to Quantify Methane Emissions Using Observations of Sentinel-5P TROPOMI,No,TROPOMI: http://www.tropomi.eu/data-products/methane EAC4 data: https://ads.atmosphere.copernicus.eu/cdsapp#!/dataset/cams-global-reanalysis-eac4?tab=overview Natural gas power plants and processing plants in Texas: https://www.eia.gov/special/gulf_of_mexico/ County-based heads of cattle and calves in Texas: https://www.nass.usda.gov/Statistics_by_State/Texas/Publications/County_Estimates/ce_maps/ce_catt.php EDGAR v4.3.2: https://edgar.jrc.ec.europa.eu/overview.php?v=432_GHG WeCHARTs wetland emission data: https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1502 GEOS-Chem simulation data: https://d1qb6yzwaaq4he.cloudfront.net/data/geoschem_ch4_2012/GEOS-Chem.tar,Yes,Yes,Yes,Geophysical Research Letters,2021,"Anthropogenic: Oil and gas production, livestock farms Natural: Wetlands",Divergence method for estimating methane emissions,"Texas, USA",Not specified,"Total methane emission over the Permian Basin: 3.06 (2.82, 3.78) Tg yr−1 for 2019"
Estimating ground-level CH4 concentrations inferred from Sentinel-5P,No,TROPOMI: http://www.tropomi.eu/data-products/methane EAC4 data: https://ads.atmosphere.copernicus.eu/cdsapp#!/dataset/cams-global-reanalysis-eac4?tab=overview Natural gas power plants and processing plants in Texas: https://www.eia.gov/special/gulf_of_mexico/ County-based heads of cattle and calves in Texas: https://edgar.jrc.ec.europa.eu/overview.php?v=432_GHG WeCHARTs wetland emission data: https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1502 GEOS-Chem simulation data: https://d1qb6yzwaaq4he.cloudfront.net/data/geoschem_ch4_2012/GEOS-Chem.tar,Yes,No,Yes with caveats,International Journal of Remote Sensing,2023,"Anthropogenic: Oil and gas production, livestock, natural gas processing plants Natural: Wetlands",Conversion of satellite-observed methane columns to ground-level concentrations using vertical profiles simulated by the GEOS-Chem model,"Global, with specific regional analyses for East Asia, Western Europe, and North America",Not specified in square meters; concentrations are provided in parts per billion (ppb),"Correlation coefficient between estimated and ground measurements: 0.93 (p < 0.01) RMSE between estimated and ground measurements: 29.93 ppb Regional accuracies: China: R = 0.87, RMSE = 54.24 ppb U.S.A.: R = 0.72, RMSE = 38.80 ppb Europe: R = 0.64, RMSE = 38.06 ppb"
Daily detection and quantification of methane leaks using Sentinel-3: a tiered satellite observation approach with Sentinel-2 and Sentinel-5p,No,"ftp://ftp.sron.nl/openaccess-data-2/TROPOMI/tropomi/ch4/ (version 19_446, accessed 10-08-2022 https://scihub.copernicus.eu/dhus/; accessed 27-10-2022 https://cds.climate.copernicus.eu/cdsapp",Yes,No,Yes with caveats,Atmospheric Measurement Techniques,2023,"Anthropogenic: Oil and gas extraction, gas pipelines",Multi-band multi-pass (MBMP) method to retrieve methane enhancements from Sentinel-3 and Sentinel-2 Cross-sectional flux (CSF) method for source rate quantification,Russia (Gryazovets-Ring of the Moscow Region Gas Pipeline) Algeria (Hassi Messaoud oil/gas field),Not specified,Sentinel-3 detection limit: 8-20 t/h Source rates for the Russia pipeline emissions: Sentinel-2: 269 ± 67 t/h and 195 ± 54 t/h Sentinel-3: 188 ± 70 t/h and 177 ± 65 t/h Source rates for the Algeria leak: Sentinel-5P: 68 ± 28 t/h and 50 ± 21 t/h Sentinel-2: 21 ± 6 t/h Sentinel-3: 30 ± 12 t/h
Satellites Detect Abatable Super-Emissions in One of the World’s Largest Methane Hotspot Regions,No,TROPOMI: public PRISMA: public ZY1 AHSI: Not provided nor public Sentinel-2: public Landsat: public,No,No,No,Environmental Science & Technology,2022,"Anthropogenic: Oil and gas production, inactive flares venting gas",Matched filter method for hyperspectral data Integrated mass enhancement (IME) method for flux rate calculation Multiband/multi-pass (MBMP) method for multispectral data,"West coast of Turkmenistan, specifically the South Caspian Basin",Not specified,"Minimum detectable emission flux rate: 1800 ± 200 kg/h Emission fluxes: 1400 ± 400 kg/h to 19,600 ± 8100 kg/h"
